question,options,answer,category,difficulty
"I share my name with a fish but I'm spent not swum — I'm Japan's currency. What am I?",Yen;Won;Baht;Riel,a,GEN,5
"He floated like a butterfly and stung like a bee — which boxer was 'The Greatest'?",Muhammad Ali;Joe Frazier;Mike Tyson;George Foreman,a,SPO,5
"The fastest man alive — 9.58 seconds in the 100m. Which Jamaican sprinter holds the world record?",Usain Bolt;Asafa Powell;Yohan Blake;Justin Gatlin,a,SPO,5
"He scored 99 international centuries — cricket's greatest batsman. Who is he?",Sachin Tendulkar;Brian Lara;Ricky Ponting;Vivian Richards,a,SPO,10
"How many times did Michael Jordan win the NBA Championship with the Chicago Bulls?",6;4;5;3,a,SPO,10
"Which country won football's very first FIFA World Cup in 1930?",Uruguay;Argentina;Brazil;Italy,a,SPO,10
"At which Olympic Games did Jesse Owens infamously win four gold medals, embarrassing Hitler's regime?",Berlin 1936;Paris 1924;Los Angeles 1932;London 1948,a,SPO,15
"This Canadian ice hockey player is so associated with the Edmonton Oilers that his number 99 was retired league-wide. Who?",Wayne Gretzky;Mario Lemieux;Bobby Orr;Gordie Howe,a,SPO,15
"Wimbledon's first championship was held in which decade — the same one Queen Victoria was crowned?",1870s;1880s;1890s;1860s,b,SPO,15
"Lewis Hamilton won his record-breaking 8th Formula 1 World Championship with which team?",Mercedes;Ferrari;McLaren;Red Bull,a,SPO,25
"Which country has won the most Rugby World Cups?",New Zealand;South Africa;Australia;England,a,SPO,25
"In cricket, what term describes a bowler taking three wickets with consecutive deliveries?",Hat-trick;Turkey;Triple play;Over,a,SPO,25
"Which sport uses a shuttlecock instead of a ball?",Badminton;Squash;Racquetball;Pickleball,a,SPO,25
"How many holes are played in a standard round of golf?",18;9;12;21,a,SPO,30
"The 'Miracle on Ice' refers to which country's shock ice hockey victory over the USSR at the 1980 Olympics?",USA;Canada;Sweden;Finland,a,SPO,30
"At the 2012 Olympics, which British cyclist won gold on the track and road on the same day — an unprecedented feat?",Bradley Wiggins;Chris Hoy;Victoria Pendleton;Mark Cavendish,a,SPO,30
"Which athlete has won the most Olympic gold medals in history?",Michael Phelps;Larisa Latynina;Usain Bolt;Carl Lewis,a,SPO,45
"In snooker, what is the maximum break a player can achieve in a single visit to the table?",147;155;180;144,a,SPO,45
"England's only FIFA World Cup win came on home soil — which year?",1966;1970;1962;1974,a,SPO,45
"Which country's national cricket team is nicknamed the Proteas?",South Africa;Zimbabwe;Kenya;Namibia,a,SPO,50
"The 'Hand of God' goal was scored in the 1986 World Cup quarter-final. Who scored it?",Diego Maradona;Pelé;Ronaldo;Zidane,a,SPO,50
"Which marathon world record holder ran the race in under 2 hours in a controlled event in 2019?",Eliud Kipchoge;Kenenisa Bekele;Mo Farah;Haile Gebrselassie,a,SPO,60
"Who holds the record for most Test cricket wickets in history?",Muttiah Muralitharan;Shane Warne;Anil Kumble;Glenn McGrath,a,SPO,60
"In American Football, how many points is a safety worth?",2;3;6;1,a,SPO,75
"The Fosbury Flop revolutionised the high jump. At which Olympics did Dick Fosbury first use it to win gold?",Mexico 1968;Tokyo 1964;Munich 1972;Montreal 1976,a,SPO,75
"Which country has won the most Olympic gold medals in field hockey — men's?",India;Pakistan;Netherlands;Germany,a,SPO,80
"Which chess grandmaster defeated Garry Kasparov in a famous 1997 match — becoming the first computer to beat a world champion?",Deep Blue;AlphaZero;Stockfish;Fritz,a,SPO,90
"In darts, what is the name for the area of the dartboard between the outer and inner bull?",Bull;Outer Bull;25;Green,b,SPO,90
"The 'butterfly stroke' in swimming was originally a variant of which other stroke?",Breaststroke;Backstroke;Freestyle;Sidestroke,a,SPO,99
"Which sport features a 'Foil', an 'Épée', and a 'Sabre'?",Fencing;Jousting;Kendo;Archery,a,SPO,99
"Four strings and a bow — I'm played in orchestras but also in barns. What instrument am I?",Violin;Cello;Viola;Mandolin,a,MUS,5
"She sold more records than any other female artist of the 20th century — her surname is a shape. Who?",Madonna;Whitney Houston;Mariah Carey;Celine Dion,a,MUS,5
"Which legendary rock band released 'Bohemian Rhapsody' in 1975?",Queen;Led Zeppelin;The Who;Pink Floyd,a,MUS,5
"Mozart composed his first symphony at age five — in which country was he born?",Austria;Germany;Italy;France,a,MUS,5
"Which Beatle was assassinated outside his New York apartment in 1980?",John Lennon;Paul McCartney;George Harrison;Ringo Starr,a,MUS,10
"'Thriller' — the best-selling album of all time — was made by which artist?",Michael Jackson;Prince;Whitney Houston;Madonna,a,MUS,10
"How many keys does a standard piano have?",88;76;92;84,a,MUS,10
"Which Shakespeare play features the line 'To be or not to be, that is the question'?",Hamlet;Macbeth;Othello;King Lear,a,MUS,10
"Van Gogh famously cut off part of his own ear — which one?",Left;Right;Both;Neither,a,MUS,15
"Which Italian opera composer wrote 'La Traviata', 'Aida', and 'Rigoletto'?",Verdi;Puccini;Rossini;Donizetti,a,MUS,15
"The Impressionist painter who gave his name to a movement — what was Claude's surname?",Monet;Manet;Renoir;Degas,a,MUS,15
"Which song holds the record as the best-selling physical single of all time?",White Christmas;Something;Yesterday;Hey Jude,a,MUS,25
"The Uffizi Gallery is one of the world's oldest art museums — in which Italian city?",Florence;Rome;Venice;Milan,a,MUS,25
"Beethoven composed his 9th Symphony after going completely deaf — what is the famous final movement called?",Ode to Joy;Moonlight Sonata;Fate;Pastoral,a,MUS,25
"Which instrument is Jimi Hendrix most associated with — and which hand did he play it with despite being left-handed?",Right-handed guitar;Left-handed guitar;Bass guitar;Keyboard,a,MUS,30
"The 'Girl with a Pearl Earring' — often called the Dutch Mona Lisa — was painted by whom?",Vermeer;Rembrandt;Hals;Rubens,a,MUS,30
"Which composer wrote The Four Seasons?",Vivaldi;Bach;Handel;Telemann,a,MUS,30
"Banksy is a world-famous anonymous street artist — in which British city is his work most associated?",Bristol;London;Manchester;Birmingham,a,MUS,30
"Which rapper has won the most Grammy Awards in history?",Jay-Z;Kendrick Lamar;Eminem;Drake,a,MUS,45
"Which Spanish surrealist painter was known for melting clocks and bizarre dreamlike scenes?",Salvador Dalí;Joan Miró;Pablo Picasso;Francisco Goya,a,MUS,45
"The 'Rite of Spring' caused a riot on its premiere night in 1913. Who composed it?",Stravinsky;Debussy;Ravel;Prokofiev,a,MUS,50
"Which classical composer was famously described as writing music 'too many notes' by Emperor Joseph II in the film Amadeus?",Mozart;Beethoven;Salieri;Haydn,a,MUS,50
"Frida Kahlo is famous for her self-portraits — which country's folklore and imagery dominates her work?",Mexico;Colombia;Argentina;Spain,a,MUS,60
"The 'Goldberg Variations' were composed by which Baroque master, supposedly to help a count sleep?",Bach;Handel;Vivaldi;Telemann,a,MUS,60
"Which album by The Beatles was recorded almost entirely live in the studio, designed to capture a raw concert feel?",Let It Be;Abbey Road;Revolver;Sgt Pepper,a,MUS,75
"Which sculptor created 'The Thinker' — a brooding bronze man seated with his chin on his fist?",Rodin;Michelangelo;Bernini;Brancusi,a,MUS,75
"Which minimalist American composer is famous for 4'33'' — a piece where musicians sit in silence?",John Cage;Philip Glass;Steve Reich;La Monte Young,a,MUS,80
"The 'Habanera' is one of the most recognisable arias in opera — from which opera does it come?",Carmen;La Traviata;Tosca;Madama Butterfly,a,MUS,90
"Who was the first artist to be inducted into both the Rock and Roll Hall of Fame and the Country Music Hall of Fame?",Elvis Presley;Johnny Cash;Chuck Berry;Jerry Lee Lewis,a,MUS,90
"Which 20th century artist created a series called 'drip paintings' by pouring and splattering paint onto horizontal canvases?",Jackson Pollock;Mark Rothko;Franz Kline;Willem de Kooning,a,MUS,99
"Which Italian Renaissance artist sculpted the Pietà in St Peter's Basilica at just 24 years old?",Michelangelo;Donatello;Brunelleschi;Ghiberti,a,MUS,99
"If you have 3 apples and someone gives you 5 more, how many do you have?",8;7;9;6,a,MAT,5
"What is 7 multiplied by 8?",56;54;48;64,a,MAT,5
"What is a triangle with three equal sides called?",Equilateral;Isosceles;Scalene;Right,a,MAT,5
"If a pizza is cut into 8 slices and you eat 3, what fraction is left?",5/8;3/8;2/4;1/2,a,MAT,5
"How many degrees are in a right angle?",90;45;180;360,a,MAT,5
"What is 15% of 200?",30;20;25;35,a,MAT,10
"A square has four equal sides — if one side is 6cm, what is its perimeter?",24cm;36cm;12cm;18cm,a,MAT,10
"What is the next prime number after 7?",11;9;13;10,a,MAT,10
"Roman numerals: what number does XIX represent?",19;14;21;16,a,MAT,10
"What is the square root of 144?",12;11;13;14,a,MAT,15
"If a train travels at 60mph for 2.5 hours, how far does it travel?",150 miles;120 miles;160 miles;140 miles,a,MAT,15
"How many faces does a cube have?",6;8;4;12,a,MAT,15
"What is 2 to the power of 10?",1024;512;2048;256,a,MAT,25
"A circle has a radius of 5cm. What is its area (use π ≈ 3.14)?",78.5 sq cm;31.4 sq cm;62.8 sq cm;157 sq cm,a,MAT,25
"What is the sum of the interior angles of a hexagon?",720°;540°;600°;660°,a,MAT,25
"If a jacket costs £80 and is reduced by 35%, what is the sale price?",£52;£48;£56;£44,a,MAT,30
"What is the value of π rounded to five decimal places?",3.14159;3.14162;3.14157;3.14160,a,MAT,30
"In a right-angled triangle with sides 3 and 4, what is the length of the hypotenuse?",5;6;7;4.5,a,MAT,30
"If the mean of five numbers is 12 and four of them are 10, 14, 8, and 16, what is the fifth?",12;10;14;8,a,MAT,45
"What is the 10th term in the Fibonacci sequence (starting 1, 1, 2, 3…)?",55;34;89;45,a,MAT,45
"A sphere has a radius of 3cm. What is its volume (use π ≈ 3.14)?",113.04 cu cm;75.36 cu cm;100.53 cu cm;125 cu cm,a,MAT,50
"What is the remainder when 2^20 is divided by 7?",2;1;4;6,a,MAT,50
"If log(x) = 3 (base 10), what is x?",1000;300;100;10000,a,MAT,60
"What is the derivative of x³ + 4x² - 2x + 7?",3x²+8x-2;3x²+4x-2;x²+8x-2;3x³+8x,a,MAT,60
"What is the sum of all integers from 1 to 100?",5050;5000;5100;4950,a,MAT,75
"How many diagonals does a decagon (10-sided polygon) have?",35;40;30;45,a,MAT,75
"What is the smallest perfect number greater than 6?",28;12;18;24,a,MAT,80
"In modular arithmetic, what is 7¹⁰⁰ mod 5?",1;2;3;4,a,MAT,90
"What is the angle in radians of 270 degrees?",3π/2;π;2π;π/2,a,MAT,90
"The Monty Hall problem — if you switch doors, what is your probability of winning?",2/3;1/2;1/3;3/4,a,MAT,99
"Which number is both a square number and a triangular number less than 100?",36;25;49;64,a,MAT,99
"Shakespeare wrote in which language?",English;Latin;French;Old Norse,a,LAN,5
"What is the most widely spoken language in the world by total speakers?",English;Mandarin Chinese;Spanish;Hindi,a,LAN,5
"In which country is Arabic NOT an official language?",Ethiopia;Egypt;Morocco;Algeria,a,LAN,5
"What does the Latin phrase 'carpe diem' mean?",Seize the day;Live for love;Fish of the day;The day is long,a,LAN,5
"Which letter appears most frequently in written English?",E;A;T;S,a,LAN,10
"What is a word that reads the same forwards and backwards called?",Palindrome;Anagram;Homophone;Synonym,a,LAN,10
"In Spanish, what does 'buenos días' mean?",Good morning;Good night;Goodbye;Good luck,a,LAN,10
"Which famous novel begins: 'It was the best of times it was the worst of times'?",A Tale of Two Cities;Oliver Twist;Great Expectations;Bleak House,a,LAN,10
"What is the French word for 'butterfly'?",Papillon;Fleur;Plume;Lumière,a,LAN,15
"Who wrote '1984' — a dystopian novel about surveillance and doublethink?",George Orwell;Aldous Huxley;Ray Bradbury;Arthur Koestler,a,LAN,15
"Which fictional detective lives at 221B Baker Street?",Sherlock Holmes;Hercule Poirot;Miss Marple;Philip Marlowe,a,LAN,15
"What is the longest word in the English language with no repeated letters?",Uncopyrightable;Ambidextrous;Incomprehensible;Questionably,a,LAN,25
"In German, what is the word for 'glove' — literally translating as 'hand shoe'?",Handschuh;Handtuch;Handgriff;Handbag,a,LAN,25
"Which Jane Austen novel begins: 'It is a truth universally acknowledged...'?",Pride and Prejudice;Sense and Sensibility;Emma;Persuasion,a,LAN,25
"Mandarin Chinese uses a writing system with thousands of characters — what are they called?",Hanzi;Kanji;Hiragana;Pinyin,a,LAN,30
"In which Shakespeare play does the character Iago manipulate the Moorish general through jealousy?",Othello;Hamlet;Macbeth;The Tempest,a,LAN,30
"What is the name for a word that sounds like what it represents — like buzz, hiss, or crackle?",Onomatopoeia;Alliteration;Assonance;Synecdoche,a,LAN,30
"Which Russian author wrote 'War and Peace' and 'Anna Karenina'?",Leo Tolstoy;Fyodor Dostoevsky;Anton Chekhov;Ivan Turgenev,a,LAN,45
"In linguistics, what is a morpheme?",The smallest unit of meaning;A type of vowel;A grammatical tense;A dialect variation,a,LAN,45
"Which Nobel Prize-winning Colombian author wrote '100 Years of Solitude'?",Gabriel García Márquez;Jorge Luis Borges;Pablo Neruda;Mario Vargas Llosa,a,LAN,50
"The word 'algebra' comes from a treatise by which 9th century mathematician?",Al-Khwarizmi;Omar Khayyam;Euclid;Pythagoras,a,LAN,50
"In linguistics, what term describes words with opposite meanings?",Antonyms;Synonyms;Homonyms;Hyponyms,a,LAN,60
"Which ancient writing system was first deciphered using the Rosetta Stone?",Egyptian hieroglyphs;Sumerian cuneiform;Linear B;Proto-Sinaitic,a,LAN,60
"Which poet wrote 'The Waste Land' in 1922 — considered one of the most important poems of the 20th century?",T.S. Eliot;Ezra Pound;W.B. Yeats;W.H. Auden,a,LAN,75
"What is the term for the grammatical structure where a verb must agree in person and number with its subject?",Subject-verb agreement;Declension;Conjugation;Inflection,a,LAN,75
"Which language family does Finnish belong to — notably NOT Indo-European?",Uralic;Semitic;Altaic;Dravidian,a,LAN,80
"James Joyce's 'Ulysses' mirrors which ancient epic poem in structure?",The Odyssey;The Iliad;The Aeneid;Beowulf,a,LAN,90
"Which writing system is used for the Amharic language, the official language of Ethiopia?",Ge'ez (Ethiopic);Arabic;Latin;Cyrillic,a,LAN,90
"What is the linguistic term for when two languages influence each other and create a simplified hybrid?",Creole;Pidgin;Dialect;Patois,a,LAN,99
"In Sanskrit grammar, how many grammatical cases does a noun have?",Eight;Six;Four;Twelve,a,LAN,99
"What does 'www' stand for in a web address?",World Wide Web;World Wide Wire;Wide World Web;Wireless World Web,a,TEC,5
"Which company made the first iPhone?",Apple;Samsung;Nokia;Motorola,a,TEC,5
"What does 'USB' stand for?",Universal Serial Bus;Unified System Bridge;Universal System Buffer;United Serial Board,a,TEC,5
"What key combination do you press to undo an action on most computers?",Ctrl+Z;Ctrl+U;Ctrl+Y;Alt+Z,a,TEC,5
"What does 'AI' stand for in technology?",Artificial Intelligence;Automated Integration;Advanced Interface;Applied Intelligence,a,TEC,10
"Which planet is hottest in our solar system — despite not being the closest to the Sun?",Venus;Mercury;Mars;Earth,a,TEC,10
"What is the powerhouse of the cell?",Mitochondria;Nucleus;Ribosome;Golgi body,a,TEC,10
"What force keeps planets in orbit around the sun?",Gravity;Magnetism;Friction;Nuclear force,a,TEC,10
"Who is widely credited with discovering penicillin in 1928?",Alexander Fleming;Louis Pasteur;Robert Koch;Joseph Lister,a,TEC,15
"What is the chemical symbol for potassium on the periodic table?",K;Po;P;Pt,a,TEC,15
"How many bones are in the adult human body?",206;208;212;198,a,TEC,15
"Which is the only planet in our solar system that rotates on its side, with its axis nearly parallel to its orbit?",Uranus;Neptune;Saturn;Jupiter,a,TEC,25
"What does DNA stand for?",Deoxyribonucleic Acid;Dioxinucleic Acid;Deoxyribose Nucleic Array;Deoxyribonuclear Acid,a,TEC,25
"In computing, what does RAM stand for?",Random Access Memory;Read Access Memory;Rapid Action Module;Remote Application Memory,a,TEC,25
"Who developed the theory of general relativity?",Albert Einstein;Isaac Newton;Niels Bohr;Max Planck,a,TEC,25
"What is the speed of light in a vacuum?",299792458 m/s;300000000 m/s;186000 m/s;3000 m/s,a,TEC,30
"Which company created the Linux operating system kernel?",Linus Torvalds (none);Microsoft;IBM;Bell Labs,a,TEC,30
"What particle carries a negative electric charge in an atom?",Electron;Proton;Neutron;Quark,a,TEC,30
"What is the half-life of Carbon-14 — used in radiocarbon dating?",5730 years;1000 years;10000 years;50000 years,a,TEC,45
"Which programming paradigm uses 'objects' that contain both data and functions?",Object-Oriented;Functional;Procedural;Declarative,a,TEC,45
"What phenomenon explains why the sky is blue?",Rayleigh Scattering;Refraction;Reflection;Dispersion,a,TEC,45
"What is the name of the theoretical boundary around a black hole beyond which nothing can escape?",Event Horizon;Singularity;Schwarzschild Radius;Photon Sphere,a,TEC,50
"In chemistry, what is the pH of a neutral solution at 25°C?",7;0;14;6.5,a,TEC,50
"What is Schrödinger's Cat a thought experiment illustrating?",Quantum superposition;Wave-particle duality;The uncertainty principle;String theory,a,TEC,60
"In Big O notation, what does O(n log n) typically represent?",Efficient sorting algorithms;Linear search;Bubble sort;Constant time,a,TEC,60
"What is the name of the process by which plants convert sunlight into glucose?",Photosynthesis;Respiration;Transpiration;Osmosis,a,TEC,75
"What force is described by the equation F = ma?",Newton's Second Law;First Law;Third Law;Law of Gravity,a,TEC,75
"What does CRISPR stand for in genetic editing?",Clustered Regularly Interspaced Short Palindromic Repeats;Controlled RNA Integration Splicing Protocol;Chromosomal Repair Integration System;Cell RNA Insertion Sequence Protocol,a,TEC,80
"Which subatomic particle was theorised by Peter Higgs and confirmed at CERN in 2012?",Higgs Boson;Graviton;Tachyon;Neutrino,a,TEC,90
"In thermodynamics, what does entropy measure?",Disorder or randomness of a system;Heat capacity;Enthalpy;Pressure at equilibrium,a,TEC,90
"What is the name of the mathematical proof that states no consistent axiomatic system can prove all true statements about arithmetic?",Gödel's Incompleteness Theorem;Turing's Halting Problem;Russell's Paradox;Cantor's Diagonal Argument,a,TEC,99
"What is the Chandrasekhar limit, and what stellar event does it relate to?",1.4 solar masses — the mass limit before a white dwarf collapses into a neutron star or black hole;2.0 solar masses — when a red giant becomes a supernova;1.0 solar mass — the mass of a typical star;3.0 solar masses — the threshold for black hole formation,a,TEC,99
"Which country contains the most natural lakes in the world?",Canada;Russia;Brazil;USA,a,GEO,5
"What is the capital of Australia?",Canberra;Sydney;Melbourne;Brisbane,a,GEO,5
"Which is the smallest country in the world by land area?",Vatican City;Monaco;San Marino;Liechtenstein,a,GEO,5
"What is the highest mountain in the world?",Mount Everest;K2;Kangchenjunga;Lhotse,a,GEO,5
"On which continent is the Amazon Rainforest located?",South America;Africa;Asia;North America,a,GEO,10
"What is the longest river in Europe?",Volga;Danube;Rhine;Thames,a,GEO,10
"Which ocean lies between Africa and Australia?",Indian Ocean;Pacific Ocean;Atlantic Ocean;Southern Ocean,a,GEO,10
"How many countries share a land border with France?",8;6;5;7,a,GEO,10
"What is the name of the large plateau that covers much of Tibet?",Tibetan Plateau;Deccan Plateau;Pamir Plateau;Mongolian Plateau,a,GEO,15
"Which African country has the most pyramids — more even than Egypt?",Sudan;Egypt;Ethiopia;Libya,a,GEO,15
"What is the name of the sea between Italy and the Balkans?",Adriatic Sea;Aegean Sea;Tyrrhenian Sea;Ionian Sea,a,GEO,15
"The Ring of Fire is a region of high volcanic activity — which ocean does it surround?",Pacific Ocean;Atlantic Ocean;Indian Ocean;Arctic Ocean,a,GEO,25
"What is the world's largest hot spring — located in Yellowstone National Park?",Grand Prismatic Spring;Old Faithful;Mammoth Hot Springs;Norris Geyser,a,GEO,25
"Which two countries share the world's longest land border?",Canada and USA;Russia and Kazakhstan;China and Mongolia;Argentina and Chile,a,GEO,25
"What is the only country in the world to have land borders with just one other country?",Portugal;Vatican City;Monaco;Canada,a,GEO,30
"Which desert is the coldest desert in the world?",Antarctica;Gobi;Atacama;Arctic,a,GEO,30
"What is the name of the narrow strip of water separating Spain from Morocco?",Strait of Gibraltar;Strait of Sicily;Bosphorus;Strait of Hormuz,a,GEO,30
"Which mountain range separates Europe from Asia?",Ural Mountains;Caucasus Mountains;Alps;Carpathians,a,GEO,45
"The Dead Sea borders which two countries?",Jordan and Israel;Israel and Egypt;Jordan and Saudi Arabia;Egypt and Libya,a,GEO,45
"What is the name of the phenomenon where cold dense water sinks in the North Atlantic, driving global ocean circulation?",Thermohaline Circulation;El Niño;Gulf Stream;Coriolis Effect,a,GEO,50
"Which country has the most time zones — spanning 11 of them?",Russia;USA;Canada;China,a,GEO,50
"What is the name of the world's largest archipelago?",Indonesia;Philippines;Japan;Maldives,a,GEO,60
"The Atacama Desert in South America receives virtually no rainfall — why is it so dry despite being near the ocean?",Cold Humboldt Current blocks moisture;Prevailing winds carry rain away;High altitude prevents cloud formation;Located in a rain shadow,a,GEO,60
"Which river flows through the most countries in the world?",Danube;Nile;Amazon;Rhine,a,GEO,75
"What is the Great Pacific Garbage Patch and roughly how large is it?",A gyre of marine debris twice the size of Texas;A submerged reef of plastics;A dense layer of sunken waste;A current carrying fishing nets,a,GEO,75
"Which tectonic plate is moving towards Asia fast enough that it will eventually close the Indian Ocean?",Indo-Australian;Pacific;Eurasian;Antarctic,a,GEO,80
"The Sahara Desert was once a lush savannah with rivers and wildlife — approximately when did this 'African Humid Period' end?",5000 years ago;10000 years ago;20000 years ago;2000 years ago,a,GEO,90
"Which is the only city in the world to span two continents?",Istanbul;Cairo;Moscow;Athens,a,GEO,90
"What is the Karman Line and why is it significant?",The boundary 100km above Earth marking the edge of space;The depth at which ocean pressure doubles;The latitude where auroras form;The point where Earth's magnetic field reverses,a,GEO,99
"What would happen to sea levels if all of Antarctica's ice sheets melted?",Rise by approximately 60 metres;Rise by 10 metres;Rise by 200 metres;Fall due to rebound,a,GEO,99
"Julius Caesar was assassinated on which date — the 'Ides of March'?",15 March 44 BC;1 March 55 BC;15 March 33 BC;20 March 44 BC,a,HIS,5
"Which ancient wonder of the world was located in Alexandria, Egypt?",The Great Library;The Lighthouse;The Colossus;The Hanging Gardens,b,HIS,5
"What was the name of the ship that carried the Pilgrims to America in 1620?",Mayflower;Santa Maria;Endeavour;Beagle,a,HIS,5
"Who was the first person to walk on the Moon?",Neil Armstrong;Buzz Aldrin;Yuri Gagarin;Alan Shepard,a,HIS,5
"Which empire was ruled by Genghis Khan?",Mongol Empire;Roman Empire;Ottoman Empire;Persian Empire,a,HIS,10
"The Great Wall of China was primarily built to keep out which group?",Mongol invaders;Roman armies;Silk Road traders;Persian forces,a,HIS,10
"In which year did the Second World War end?",1945;1944;1946;1943,a,HIS,10
"Which British prime minister led the country through most of World War II?",Winston Churchill;Neville Chamberlain;Clement Attlee;Stanley Baldwin,a,HIS,10
"The Magna Carta — a foundational document of democracy — was signed in which year?",1215;1066;1415;1307,a,HIS,15
"Cleopatra VII was the last pharaoh of ancient Egypt — she was actually of which heritage?",Greek (Macedonian);Egyptian;Roman;Persian,a,HIS,15
"The Battle of Hastings in 1066 saw which invader defeat King Harold?",William of Normandy;Harald Hardrada;Sweyn Forkbeard;Canute,a,HIS,15
"Who was the first female Prime Minister of the United Kingdom?",Margaret Thatcher;Theresa May;Barbara Castle;Harriet Harman,a,HIS,25
"What was the name of the war fought between Britain and Argentina in 1982 over a disputed island group?",Falklands War;Malvinas Conflict;South Atlantic War;Operation Corporate,a,HIS,25
